Just the Way You Are,Bruno Mars,Pop,220,1790551919
Moves Like Jagger,Maroon 5,Pop,201,1255391405
Not Afraid,Eminem,Rap,248,918413079
Talking to the Moon,Bruno Mars,Pop,217,1164817338
Firework,Katy Perry,Dance,227,938001541
POWER,Kanye West,Rap,292,864893181
Grenade,Bruno Mars,Pop,222,1144052221
Sure Thing,Miguel,Soul,195,1095516698
Someone Like You,Adele,Pop,285,1733304688
Rolling in the Deep,Adele,Pop,228,1599063407
Pumped Up Kicks,Foster The People,Indie,239,1593430428
Somebody That I Used To Know,Gotye,Alternative Rock,244,1560568532
We Found Love,Rihanna,Dance,215,1374225318
A Thousand Years,Christina Perri,Pop,285,1476116657
Levels,Avicii,House,338,846248964
Set Fire to the Rain,Adele,Pop,242,1329990451
Sweater Weather,The Neighborhood,Indie,240,2506377926
Let Her Go,Passenger,Soft Rock,240,2048286358
Demons,Imagine Dragons,Pop,177,1987786305
Another Love,Tom Odell,Indie,244,2046540297
When I Was Your Man,Bruno Mars,Pop,214,1812595777
Radioactive,Imagine Dragons,Alternative Rock,187,1673685991
Thinking Out Loud,Ed Sheeran,Soft Rock,281,2363795592
Photograph,Ed Sheeran,Pop,259,2347114360
Take Me to Church,Hozier,Indie,241,2276958072
All of Me,John Legend,R&B,177,2184028923
Dark Horse,Katy Perry,Pop,215,1281934678
Wake Me Up,Avicii,House,272,2094857765
Royals,Lorde,Pop,190,1133348203
No Role Modelz,J. Cole,Rap,292,1956357118
Stay With Me,Sam Smith,Soul,172,1908792381
Uptown Funk,Mark Ronson,Funk,270,1842672187
I'm Not The Only One,Sam Smith,Dance,239,1710073204
Sugar,Maroon 5,Pop,235,1698525672
Blank Space,Taylor Swift,Electropop,232,1610318470
Love Yourself,Justin Bieber,Pop,233,2227850121
Stressed Out,Twenty One Pilots,Rock,222,2109881924
The Hills,The Weeknd,Trap,242,2072187049
Sorry,Justin Bieber,House,200,1913701885
Lean On,Major Lazer,Electronic,177,1883220511
Hello,Adele,Soul,295,1470959355
The Less I Know The Better,Tame Impala,Indie,216,1434395815
Hymn for the Weekend,Coldplay,Indie,258,1250399179
One Dance,Drake,Afrobeat,173,2864620081
Starboy,The Weeknd,R&B,230,2826567684
Closer,The Chainsmokers,Dance,244,2684993420
goosebumps,Travis Scott,Rap,243,2130380277
Die For You,The Weeknd,R&B,260,1891605671
Congratulations,Post Malone,Rap,220,1857411235
That's What I Like,Bruno Mars,R&B,206,1837984306
Shape of You,Ed Sheeran,Pop,233,3693945641
Believer,Imagine Dragons,Rock,204,2744560266
Perfect,Ed Sheeran,Pop,263,2712797486
Something Just Like This,The Chainsmokers,Pop,247,2329764576
Thunder,Imagine Dragons,Electropop,187,2171862579
Someone You Loved,Lewis Capaldi,Indie,182,3070139909
Sunflower,Post Malone,Hip-Hop,158,3017804280
rockstar,Post Malone,Rap,218,2816271430
lovely,Billie Eilish,Pop,200,2526580032
Lucid Dreams,Juice WRLD,Rap,239,2379956154
God's Plan,Drake,Pop,198,2356698558
Dance Monkey,Tones and I,Dance,209,2941160627
Watermelon Sugar,Harry Styles,Pop,174,2458548086
bad guy,Billie Eilish,Pop,194,2390838645
Circles,Post Malone,Pop,215,2264139079
Sucker,Jonas Brothers,Pop,181,1324709354
Senorita,Shawn Mendes,Pop,190,2578809798
Blinding Lights,The Weeknd,Synthpop,202,3906158897
Heat Waves,Glass Animals,Pop,238,2731923760
Levitating,Dua Lipa,Disco,203,1913308933
Dynamite,BTS,K-Pop,199,1757885537
Save Your Tears,The Weeknd,Synthpop,216,1730404811
Godzilla,Eminem,Rap,210,1251058558
STAY,The Kid LAROI,Pop,141,2838288315
good 4 u,Olivia Rodrigo,Rock,178,1991777291
drivers license,Olivia Rodrigo,Pop,242,1978064513
INDUSTRY BABY,Lil Nas X,Rap,212,1896798527
Memories,Maroon 5,Indie,189,1849914065
Mood,24Goldn,Hip-Hop,140,1757745884
Kiss Me More,Doja Cat,Pop,208,1666955634
As It Was,Harry Styles,Pop,167,2825940606
Me Porto Bonito,Bad Bunny,Reggae,178,1597034284
Unholy,Sam Smith,Dance,156,1374215116
Glimpse of Us,Joji,Pop,233,1101970248
Calm Down,Rema,Afrobeat,220,1128726783
Bad Habit,Steve Lacy,R&B,232,934459271
Creepin',Metro Boomin,Hip-Hop,222,1066116497
Flowers,Miley Cyrus,Indie,200,1595656772
Seven,Jung Kook,K-Pop,184,1106840749
Ella Baila Sola,Eslabon Armado,Corrido,165,982719567
La Bebe,Yng Lvcas,Latin Urbano,234,806380320
Cupid,FIFTY FIFTY,K-Pop,174,701105783
Here With Me,d4vd,Indie,242,799579974
Like Crazy,Jimin,K-Pop,213,685018635